발화자,발화문,인텐트
c,이건 정상이에요?,구매 목록
s,네,구매 목록
c,그 전하고 똑같은 건가요?,구매 목록
s,네 오 프로 할인만 돼요,구매 목록
s,할인 이번주까진거 아시죠?,구매 목록
c,네 알겠어요 주세요,구매 목록
c,바지 두개인데 할인 더 안해주나요?,구매 목록
s,만원 할인해 드릴게요,구매 목록
c,몇 프로 세일하는 거에요?,구매 목록
s,칠십프로요,구매 목록
c,할인이 된건가요?,구매 목록
s,네 오십칠프로 된거네요,구매 목록
c,할인된 가격이나요?,구매 목록
s,네 오십오프로 할인된거에요,구매 목록
c,할인된 가격이나요?,구매 목록
s,네 오십오프로 할인된거에요,구매 목록
c,이건 세일 아닌가보죠?,구매 목록
s,네 이건 엇그제 나온 상품이라 제외세요,구매 목록
s,앞에 보시면 후리스 점퍼도 사십오프로 할인하거든요?,구매 목록
c,그래요,구매 목록
c,할인은 안하나요?,구매 목록
s,네 신상품이라 할인은 안해요,구매 목록
c,셔츠도 할인 안하지요?,구매 목록
s,이 상품은 할인합니다,구매 목록
c,얼마나 할인 하나요?,구매 목록
s,이십퍼센트 할인합니다,구매 목록
c,셔츠도 할인 안하지요?,구매 목록
s,이 상품은 할인합니다,구매 목록
c,얼마나 할인 하나요?,구매 목록
s,이십퍼센트 할인합니다,구매 목록
c,할인은 안하나요?,구매 목록
s,네 신상품이라 할인은 안해요,구매 목록
c,카라티셔츠도 할인 안하지요?,구매 목록
s,이 상품은 할인합니다,구매 목록
c,얼마나 할인 하나요?,구매 목록
s,이십육퍼센트 할인합니다,구매 목록
c,그럼 할인해서 만오천원인가요?,구매 목록
s,네 맞습니다,구매 목록
c,남방도 할인 안하지요?,구매 목록
s,이 상품은 할인합니다,구매 목록
c,할인은 안하나요?,구매 목록
s,네 신상품이라 할인은 안해요,구매 목록
c,짧은팔카디건도 할인 안하지요?,구매 목록
s,이 상품은 할인합니다,구매 목록
c,얼마나 할인 하나요?,구매 목록
s,이십팔퍼센트 할인합니다,구매 목록
c,그럼 할인해서 만육천원인가요?,구매 목록
s,네 맞습니다,구매 목록
c,짧은팔카디건도 할인 안하지요?,구매 목록
s,이 상품은 할인합니다,구매 목록
c,얼마나 할인 하나요?,구매 목록
s,이십팔퍼센트 할인합니다,구매 목록
c,그럼 할인해서 만육천원인가요?,구매 목록
s,네 맞습니다,구매 목록
c,몇프로 세일이에요?,구매 목록
s,세일 상품이 아니에요 신상입니다,구매 목록
c,비조장식 중기장다운은 세일 안하나요?,구매 목록
s,네 안하고 팔십구만팔천원입니다,구매 목록
c,몇프로 세일이에요?,구매 목록
s,세일 상품이 아니에요 신상입니다,구매 목록
c,비조장식 중기장다운은 세일 안하나요?,구매 목록
s,네 안하고 팔십구만팔천원입니다,구매 목록
c,이거 세일하는 거에요?,구매 목록
s,네 이십프로 하고요 쿠폰사용하면 더 다운됩니다,구매 목록
c,혹시 할인 하는 거 이월상품 같은 건 없어요?,구매 목록
s,이월 상품은 이제 가을 제품인데 이쪽에 있는 거 보시면 돼요,구매 목록
c,몇 프로 할인이에요?,구매 목록
s,평균 이십 프로 정도 싸다고 보시면 돼요,구매 목록
s,그런 건 좀 더 오래 된 거죠 더 오래될수록 싸져요,구매 목록
c,몇프로 세일이에요?,구매 목록
s,세일 상품이 아니에요 신상입니다,구매 목록
c,비조장식 중기장다운은 세일 안하나요?,구매 목록
s,네 안하고 팔십구만팔천원입니다,구매 목록
c,브루종 후드 점퍼 숏 무스탕 세일해요?,구매 목록
s,아니요 이거 신상이라 안합니다,구매 목록
c,숏기장 점퍼형 무스탕 얼마 할인된거에요?,구매 목록
s,사십프로에요,구매 목록
c,폭스 카라퍼 더블 롱 무스탕 세일 안하나요?,구매 목록
s,네 지금은 안합니다,구매 목록
c,아 이십삼만 팔천 원에서 오십 프로 해 주시는 거예요?,구매 목록
s,네네,구매 목록
c,지금 다 오십 프로예요?,구매 목록
s,신상은 오십 프로 하고요. 더 한 것은 육십 프로나 칠십 프로 하는 것도 있어요. 그건 이월 상품이고요,구매 목록
c,신상은 오십 프로?,구매 목록
s,네. 이 정도면,구매 목록
c,아 이게 오십 프로 할인한 가격이에요?,구매 목록
s,네,구매 목록
c,이거 몇프로 세일하는 거에요?,구매 목록
s,이십오프로요,구매 목록
c,세일이 들어간건가요?,구매 목록
s,네 삼십프로요,구매 목록
s,앱에 쿠폰 받으시면 십프로 더 할인되는데 받으시겠어요?,구매 목록
c,네,구매 목록
c,세일한 건가요?,구매 목록
s,네 삼십오프로요 원래 정가는 만구천구백원이에요,구매 목록
c,이것도 세일해요?,구매 목록
s,이게 이십삼프로 세일한 가격입니다,구매 목록
c,얼마나 세일한 거에요?,구매 목록
s,삼십삼프로 세일했어요 정가는 이만구천구백원입니다,구매 목록
c,이거 반값세일하는 거에요?,구매 목록
s,네,구매 목록
c,여기 맨투맨들 다 오십프로 세일하는 거에요?,구매 목록
s,네,구매 목록
c,몇프로 세일됐어요?,구매 목록
s,사십육프로 입니다,구매 목록
s,백화점카드 오프로 할인해드릴까요?,구매 목록
c,네 해주세요,구매 목록
c,할인된거에요?,구매 목록
s,네 삼십프로 할인가에요,구매 목록
c,할인은 하지 않나요?,구매 목록
s,네 할인은 하지 않아요,구매 목록
c,좀 할인은 안 돼요?,구매 목록
s,그건 백화점의 사정에 따라 달라요. 상품권이나 카드사 할인데 따라요,구매 목록
c,할인 돼요?,구매 목록
s,이거는 여기가 롯데 백화점이잖아요?,구매 목록
s,롯데 백화점 카드가 있으시거나 상품권의 경우에 할인이 들어가는데 전 상품이 세일 상품은 아니에요,구매 목록
c,이 레트로 슬립온은 세일 안해요?,구매 목록
s,네 이거는 신상품이라서요,구매 목록
c,이게 패딩 오십 퍼센트 할인 적용 된 금액이지요?,구매 목록
s,네 모든 할인 이벤트가 적용 된 가격이예요,구매 목록
c,이게 패딩 오십 퍼센트 할인 적용 된 금액이지요?,구매 목록
s,네 모든 할인 이벤트가 적용 된 가격이예요,구매 목록
c,할인하나요?,구매 목록
s,원래는 삼만삼천원인데 할인한 금액이에요,구매 목록
c,할인해서 이만오천원요?,구매 목록
s,네,구매 목록
c,현금으로 하면 더 할인되거나 하는건 없나요?,구매 목록
s,네 죄송해요 백화점이다보니,구매 목록
c,얼마나 할인하나요?,구매 목록
s,제품에 따라 달라요 다 보시면 써있어요,구매 목록
c,가장 많이 할인하는 제품은 뭐예요?,구매 목록
s,티셔츠는 칠십퍼센트 할인중이예요,구매 목록
c,전부 칠십퍼센트 할인이예요?,구매 목록
s,네 여기 앞에 제품들이요,구매 목록
c,많이 세일되었네요?,구매 목록
s,네 맞아요,구매 목록
c,모자도 할인하나요?,구매 목록
s,네,구매 목록
c,현금으로 하면 좀 깎아주시나요?,구매 목록
s,네,구매 목록
c,얼마까지?,구매 목록
s,사만 사천 원까지,구매 목록
c,여기 패딩은 얼마 세일하는 거예요?,구매 목록
s,오십 프로요,구매 목록
c,이거 품목마다 세일하는 게 다 달라요?,구매 목록
s,당연히 달라요. 저희 할인 매장이 아니라 정상매장이에요,구매 목록
c,아아 세일해서? 이거는 칠십 프로예요,구매 목록
s,칠십 프로요. 입어 보세요,구매 목록
c,그렇다고 만날 블랙만 입을 수도 없잖아. 이 조끼도 세일 해요?,구매 목록
s,세일은 다 해요,구매 목록
c,세일을 많이 안 하나?,구매 목록
s,아니오. 비슷해요,구매 목록
c,조끼도 되게 비싸네. 할인 한 건데도 그러네요?,구매 목록
c,이거 세일 얼마나 하는 거예요?,구매 목록
s,아유 말도 못하게 많이 해요. 원가도 못 받고 있어요,구매 목록
c,아 이게 세일 안 해요?,구매 목록
s,네,구매 목록
c,여기 택에 십칠만 삼천 원이라고 써 있는데 뭔 소리야? 아 여기 이십 만. 이거 삼십 프로 세일하는 거예요?,구매 목록
s,네 삼십인데,구매 목록
c,매일 오늘만 하는 건 아니고?,구매 목록
s,아이고,구매 목록
c,할인되는 거 없나요?,구매 목록
s,회원가입 하시면 오 프로 할인 돼요,구매 목록
c,카드 할인은 안 돼요?,구매 목록
s,네. 그건 안 돼요,구매 목록
c,세일하는 거예요?,구매 목록
s,이거 거위털 파카라 이십팔만 구천 원인데 십만 원 할인해 드려서 제일 많이 해 드리는 거고요,구매 목록
c,예쁘다. 이 패딩은 몇 프로 정도 하세요?,구매 목록
s,그건 삼십 프로 품목이에요. 그것도 한정 수량으로 금요일부터 나갔는데 많이 나갔어요,구매 목록
c,이게 맘에 드는데 세일 더 안들어가요?,구매 목록
s,지금 많이 해드린거에요,구매 목록
s,심플한 라인 좋아하시면 십육만 오천 원짜리를 오만 구천 원에 드리거든요?,구매 목록
c,할인을 많이 하네요?,구매 목록
c,요즘에 세일 많이 하는 가격이 이 가격인 거죠?,구매 목록
s,네,구매 목록
c,더 내려가긴 어렵나요?,구매 목록
s,그건 좀,구매 목록
c,여러 개 하면 어떻게 안 될까요?,구매 목록
s,에이 이 정도는 주셔야 그만한 값어치를 하는 거예요,구매 목록
c,혹시 더 할인 되는 카드는 없나요? 신용카드?,구매 목록
s,신용카드 육 개월 무이자 할부 있어요,구매 목록
c,여기서 혹시 세일 들어가나요?,구매 목록
s,균일가 상품은 세일이 안 돼요,구매 목록
s,한 제품의 십 프로만 되는 거예요?,구매 목록
c,구매 총 금액의 십 프로,구매 목록
c,여기서 또 할인이 들어가는 거예요?,구매 목록
s,네네,구매 목록
c,십 프로 더 들어가요?,구매 목록
s,네. 사만 구천 원이잖아요? 사만 사천 백 원 거기서 추가 오 프로 더 해 드려요,구매 목록
c,아하 오 프로 추가까지요? 카드가 있어야 되나요?,구매 목록
s,네,구매 목록
c,이거 행사 하는 거예요?,구매 목록
s,네,구매 목록
c,할인은 얼마나 되는 거예요?,구매 목록
s,그건 지금 오 프로 들어가요. 이월상품은 오십에서 육십 프로 할인 돼요,구매 목록
c,이건 할인 얼마나 돼요?,구매 목록
s,한 오프로요. 만 원 빠진다고 보시면 돼요,구매 목록
s,멤버십 만드시면 오 프로 추가 디시 들어가고요,구매 목록
c,아 오십 프로예요?,구매 목록
s,이런 거 하시면 활용도가 좋아요,구매 목록
c,이런 거는 만 원 할인 되는 거예요?,구매 목록
s,네,구매 목록
c,세일 하는 거예요?,구매 목록
s,네네 할인 들어갔어요,구매 목록
c,더 깎아주실 수는 없나요?,구매 목록
c,너무 비싼데 좀 깎아주실 수 없나요?,구매 목록
s,오만오천원까지는 해드릴게요,구매 목록
c,더 깎아주실 수는 없나요?,구매 목록
s,죄송해요,구매 목록
c,너무 비싼데 좀 깎아주실 수 없나요?,구매 목록
s,오만오천원까지는 해드릴게요,구매 목록
c,더 깎아주실 수는 없나요?,구매 목록
s,죄송해요,구매 목록
c,이거는 기본으로 하나씩은 갖고 있는 거라서,구매 목록
s,이 가격인가요? 여기서 할인되거나 그런 건 없고요?,구매 목록
c,네,구매 목록
s,세일 제외 브랜드라서,구매 목록
c,몇 프로 들어가요?,구매 목록
s,신상품 기준으로 하면 두 족에 이십 프로씩이오,구매 목록
s,저희 멤버십 가입하시면 만 원씩 세일 들어가요,구매 목록
c,할인은 끝났나요?,구매 목록
s,네. 끝났어요,구매 목록
c,얼마 정도 할인 했어요?,구매 목록
s,많이 할인 안 했어요,구매 목록
c,여기에서 오십 프로예요?,구매 목록
s,아니오,구매 목록
c,아 오십 프로가 된 거예요?,구매 목록
s,네,구매 목록
c,이게 팔십 프로 세일한 가격인 거예요?,구매 목록
s,네. 한 벌에 팔만 사천 원,구매 목록
c,현금 할인 해 줘요?,구매 목록
s,아니오. 지금 밖에 있는 건 최저가로 깔고 있어서 더 깎아드리지는 못해요,구매 목록
s,매장 안에 있는 건 대부분 다 세일이에요,구매 목록
c,이거 전부다 할인 된 가격이에요?,구매 목록
s,네,구매 목록
c,이것도 할인 된 가격이에요?,구매 목록
s,이건 신상이라 할인 안 돼요,구매 목록
c,이백 원 빼주시면 안 돼요?,구매 목록
s,여기가 아울렛 매장이라 빼드릴 수 없어요,구매 목록
c,할인 된 가격이에요?,구매 목록
s,네,구매 목록
c,이것도 세일해요?,구매 목록
c,되게 싸네요. 세일 한 거예요?,구매 목록
s,가방은 세일 안 들어가요,구매 목록
c,아 그럼 대량 주문 하면 장당 오천 원 할인해 주시는 거예요?,구매 목록
s,그렇죠,구매 목록
c,쫄티는 세일 안 하나요?,구매 목록
s,이건 워낙 싸서 세일 안 해요,구매 목록
c,청바지는 세일 안 해요?,구매 목록
s,청바지는 세일 안 해요,구매 목록
s,얇은 거는 세일 하고,구매 목록
s,이제 계절이 바뀌니까,구매 목록
s,한 이 달 십오 일까지는 할 거예요. 가을 거,구매 목록
c,많이 사면 할인 돼요?,구매 목록
s,아무래도 많이 사면 싸게 주죠,구매 목록
c,할인 들어간 가격이에요?,구매 목록
s,소가죽이어서,구매 목록
c,세일 좀 더 들어간 거죠?,구매 목록
s,네,구매 목록
c,여기 세일 되는 카드는 없나요?,구매 목록
c,무이자 할부나 세일 되는 카드 같은 거,구매 목록
s,세일 되는 카드는 따로 없고,구매 목록
c,할인하나요?,구매 목록
s,원래는 삼만삼천원인데 할인한 금액이에요,구매 목록
c,할인 한 거예요?,구매 목록
s,네 할인된 가격이에요,구매 목록
c,겨울거는 오십프로 다 되요?,구매 목록
s,네. 겨울거 다해요,구매 목록
c,몇프로 세일인가요?,구매 목록
s,지금 오십프로 세일 하고 있어요,구매 목록
c,전품목이 오십프로에요?,구매 목록
s,아뇨. 신상만 오십프로고 더 세일하는것도 있어요,구매 목록
c,아 추가할인도 해주나요?,구매 목록
s,네,구매 목록
c,신상이라 할인되는거에요?,구매 목록
s,네,구매 목록
c,이런거는 몇프로에요?,구매 목록
s,신상은 오십프로 하고 있어요,구매 목록
c,저거 이쁜데요?,구매 목록
s,많이해야 육십프로가 다예요,구매 목록
c,이것도 오십프로에요?,구매 목록
s,네,구매 목록
c,이것도 오십프로에요?,구매 목록
s,신상은 다 오십프로에요,구매 목록
c,추가할인도 해요?,구매 목록
s,만원추가에요,구매 목록
c,소품은 이십프로에요?,구매 목록
s,액세서리 종류는 이십프로에요,구매 목록
c,여기서 또 추가할인 되요?,구매 목록
s,네. 이만원이요,구매 목록
c,추가로 십프로 더 되는거죠?,구매 목록
s,네,구매 목록
c,김천사랑 얼마까지 해줘요?,구매 목록
s,상품권은 사십만원까지 되요,구매 목록
c,카드에 충전하면 칠십까지 되나요?,구매 목록
s,네,구매 목록
c,할인 없나요?,구매 목록
s,멤버십 가입하시면 오 프로 할인이나 만 원 정도 할인 돼요,구매 목록
c,비싸네요 이게 할인된건가요?,구매 목록
s,네 원래는 십칠만원정도 하는 옷인데 이월 상품이라서 할인된거에요,구매 목록
c,바지 두개인데 할인 더 안해주나요?,구매 목록
s,만원 할인해 드릴게요,구매 목록
c,아까 직원할인 해주신다고 안하셨나요?,구매 목록
s,아 죄송합니다 잠시만요,구매 목록
c,혹시 몇 프로 적립되는지 아세요?,구매 목록
c,아 그럼 타임세일이 뭐에요?,구매 목록
s,이제 정확히 말씀드리면 한 품목에서 평소 가격보다 30~50 퍼센트 인하된 가격으로 한정적으로 판매하는 거에요,구매 목록
c,아 30~50이요?,구매 목록
s,네 30~50프로요,구매 목록
c,요금은요?,구매 목록
s,요금 같은 경우 이제 공시운임의 10프로를 적용받으세요,구매 목록
c,그럼 소아는요?,구매 목록
s,소아는 좌석을 정할 수 있구요. 요금도 이제 성인 운임의 75프로를 적용받으세요,구매 목록
c,할인은 하지 않나요?,구매 목록
s,할인가격입니다,구매 목록
c,그럼 오십퍼센트 할인인가요?,구매 목록
s,네 맞습니다,구매 목록
c,언제까지 할인인가요?,구매 목록
s,이번주까지 할인입니다,구매 목록
c,멤버쉽 카드 할인 되나요?,구매 목록
s,네 되죠,구매 목록
c,멤버쉽은 얼마나 할인 되요?,구매 목록
s,기본 할인 십퍼센트 됩니다,구매 목록
c,이월 상품은 할인율이 어떻게 되요?,구매 목록
s,삼십퍼센트 들어가죠,구매 목록
c,택에 붙은 금액이 판매가인가요?,구매 목록
s,아뇨 그 금액에서 삼십퍼센트 할인이요,구매 목록
c,여기 걸린 야구 모자도 할인인가요?,구매 목록
s,그 제품은 제외 상품이에요,구매 목록
c,이치마도 할인 없나요?,구매 목록
s,네 신상품이라 할인제외 상품입니다,구매 목록
c,몇프로요?,구매 목록
s,30%로요,구매 목록
s,삼십프로 할인해드렸고 롯데백화점카드 추가 오프로 더 할인해드리겠습니다,구매 목록
c,감사합니다,구매 목록
c,멤버쉽 카드 할인 되나요?,구매 목록
s,네 되죠,구매 목록
c,멤버쉽은 얼마나 할인 되요?,구매 목록
s,기본 할인 십퍼센트 됩니다,구매 목록
c,적립금도 사용가능 인가요?,구매 목록
s,네 쓰실수 있어요,구매 목록
c,이월 상품은 할인율이 어떻게 되요?,구매 목록
s,삼십퍼센트 들어가죠,구매 목록
c,여기 걸린 야구 모자도 할인인가요?,구매 목록
s,그 제품은 제외 상품이에요,구매 목록
c,이치마도 할인 없나요?,구매 목록
s,네 신상품이라 할인제외 상품입니다,구매 목록
c,진짜 비슷하네요. 이거 할인 들어간 거예요?,구매 목록
s,네. 맞아요,구매 목록
c,몇 프로 들어간 거예요?,구매 목록
s,이게 아마 십오 프로 들어간 걸 거예요,구매 목록
c,두 개 하면 좀 싸게 안 되나요?,구매 목록
s,두 개 하시면 저희가 십 퍼센트 정도 할인 해 드려요,구매 목록
c,십 퍼센트면 얼마예요?,구매 목록
s,사천 원씩,구매 목록
s,아아 바지만 두 개 하면요? 각각은 안 되고?,구매 목록
c,네. 각각은 저희가 할인 규정이 없어요,구매 목록
s,그럼 이렇게 따로따로는 할인이 안 되는 거네요?,구매 목록
c,네,구매 목록
c,이거는 오십프로에요?,구매 목록
s,여기 있는거는 오십프로고요,구매 목록
c,어떤게 세일이에요?,구매 목록
s,이건 이월이라서 칠십프로에요,구매 목록
c,이 바지는요?,구매 목록
s,이 바지가 칠십프로요,구매 목록
c,이런 패딩도 다 칠십프로에요?,구매 목록
s,네,구매 목록
c,세일하는거에요?,구매 목록
s,네,구매 목록
c,이건 오십프로잖아요?,구매 목록
s,네. 오십프로에요,구매 목록
c,세일하나요?,구매 목록
s,원래 십삼만팔천원이었어요,구매 목록
s,삼십프로 할인해드렸고 롯데백화점카드 추가 오프로 더 할인해드리겠습니다,구매 목록
c,이 제품 할인 되나요?,구매 목록
s,아 할인은 안 되요. 지금 신상품이라,구매 목록
s,할인 안 하고 있습니다,구매 목록
c,이 안에 것도 세일하는 거에요?,구매 목록
s,네 세일해요,구매 목록
c,아울렛에 왔으니 착한 가격 좀 보고 싶은데요?,구매 목록
s,삼십프로하고 있어요,구매 목록
c,오십프로도 있나요?,구매 목록
s,오십프로는 별로 없어요,구매 목록
c,이치마도 할인 없나요?,구매 목록
s,네 신상품이라 할인제외 상품입니다,구매 목록
c,몇프로 할인해요?,구매 목록
s,사십프로에요,구매 목록
c,몇프로 세일한 거에요?,구매 목록
s,이만구천구백원입니다,구매 목록
c,몇프로 할인해요?,구매 목록
s,사십프로에요,구매 목록
c,이것도 세일품목인가요?,구매 목록
s,네 삼십삼프로 세일한거에요,구매 목록
c,지금 세일 중입니사시까?,구매 목록
s,네 상품에 따라 십 퍼센트에서 사십 퍼센트 할인 중입니다,구매 목록
c,세일은 얼마 동안 하는 건가요?,구매 목록
s,이번 주 일요일까지만 세일합니다,구매 목록
c,지금 세일 중입니사시까?,구매 목록
s,네 상품에 따라 십 퍼센트에서 사십 퍼센트 할인 중입니다,구매 목록
c,세일은 얼마 동안 하는 건가요?,구매 목록
s,이번 주 일요일까지만 세일합니다,구매 목록
c,지금 세일 중입니사시까?,구매 목록
s,네 상품에 따라 십 퍼센트에서 사십 퍼센트 할인 중입니다,구매 목록
c,세일은 얼마 동안 하는 건가요?,구매 목록
s,이번 주 일요일까지만 세일합니다,구매 목록
c,지금 칠십프로 넘게 하는거에요?,구매 목록
s,네,구매 목록
c,얼마 할인이요?,구매 목록
s,오십프로해서요,구매 목록
c,여기서 더 디시가 되요?,구매 목록
s,네. 십프로 더 되요,구매 목록
c,할인해서 그래요?,구매 목록
s,네. 오십프로 할인해서 그래요,구매 목록
c,얼마나 할인되는거에요?,구매 목록
s,오십프로요,구매 목록
c,이거는 오십플러스 삼십은 모에요?,구매 목록
s,그건 육십오프로 정도라고 보시면 되요,구매 목록
c,여기 세일 하는 거에요?,구매 목록
s,네? 예. 6천원씩이에요 이건,구매 목록
c,어떤 게 할인 하는 거에요?,구매 목록
s,이게 할인 하는 거에요,구매 목록
c,이게 할인하는 거에요? 얘는 안 하는 거에요?,구매 목록
s,네네,구매 목록
c,아 이것도 세일 한 거죠?,구매 목록
s,네 해서 들어온 거에요 고객님,구매 목록
c,할인 된 건가요?,구매 목록
s,20퍼센트 된 거에요,구매 목록
c,몇퍼센트 할인된 가격이에요?,구매 목록
s,11퍼센트 됬습니다,구매 목록
c,이것도 몇 퍼센트 할인해요?,구매 목록
s,11퍼센트 된 겁니다,구매 목록
c,이거는 할인 하나요?,구매 목록
s,지금 할인 안 합니다,구매 목록
c,할인하나요?,구매 목록
s,네 하고 있어요,구매 목록
c,몇 퍼센트에요?,구매 목록
s,39퍼센트 하고 있습니다,구매 목록
c,할인하나요?,구매 목록
s,네 할인하고 있어요,구매 목록
c,몇 퍼센트 할인해요?,구매 목록
s,13프로 합니다,구매 목록
c,몇 퍼센트 할인 하는 거에요?,구매 목록
s,22퍼센트,구매 목록
c,할인 하는 거에요?,구매 목록
s,네,구매 목록
c,이거 할인 한 건가요?,구매 목록
s,네 지금 할인하고 있는거에요,구매 목록
c,아 몇 퍼센트 하는 거에요?,구매 목록
s,33퍼센트요,구매 목록
c,할인하는 거에요?,구매 목록
s,네 하고 있어요,구매 목록
c,몇 퍼센트요?,구매 목록
s,13 퍼센트요,구매 목록
c,할인하는 거에요?,구매 목록
s,네,구매 목록
c,몇 퍼센트 할인 하는 거에요 맨투맨?,구매 목록
s,17퍼센트하고 있습니다,구매 목록
c,할인 하나요?,구매 목록
s,할인은 안 하고 있어요,구매 목록
c,요거는 할인하는 거에요?,구매 목록
s,네 지금 하고 있습니다,구매 목록
c,할인 얼마나 하는 거에요?,구매 목록
s,17 퍼센트 하고 있어요,구매 목록
c,이것도 세일하나요?,구매 목록
s,지금은 안 하고 있어요,구매 목록
c,요거 블루종 할인도 하나요?,구매 목록
s,할인하고 있습니다,구매 목록
c,할인 많이 하나요?,구매 목록
s,13퍼센트 하고 있어요,구매 목록
c,몇 퍼센트 할인하는 거에요?,구매 목록
s,13퍼센트 하고 있습니다,구매 목록
c,13퍼센트요?,구매 목록
s,네,구매 목록
c,그 베스트 상품 중에요,구매 목록
s,네네,구매 목록
c,할인하는 거에요?,구매 목록
s,네 하고 있습니다,구매 목록
c,몇 퍼센트 할인하는 거에요 지금?,구매 목록
s,17 퍼센트 하고 있어요,구매 목록
c,할인하는 거에요?,구매 목록
s,네 하고 있어요,구매 목록
c,얼마나 할인?,구매 목록
s,50퍼센트하고 있어요,구매 목록
c,할인 하는 거에요 지금?,구매 목록
s,네 지금 할인 들어갔어요,구매 목록
c,몇 프로 할인 하는 거에요?,구매 목록
s,11프로 할인 합니다,구매 목록
c,할인 하고 있어요?,구매 목록
s,네,구매 목록
c,몇 퍼센트 할인해요?,구매 목록
s,23프로 할인이요,구매 목록
c,모직 코트는 몇 프로 할인해요?,구매 목록
s,23프로 할인이요,구매 목록
c,할인하고 있어요?,구매 목록
s,네,구매 목록
c,몇 퍼센트 할인해요?,구매 목록
s,23프로 할인이요,구매 목록
c,이것도 할인해요?,구매 목록
s,네,구매 목록
c,몇 퍼센트 할인해요?,구매 목록
s,23프로 할인합니다,구매 목록
c,아 요거는 할인 얼마나 해요?,구매 목록
s,이거는 30프로 하고 있어요,구매 목록
c,할인 하는 거에요?,구매 목록
s,네 할인 하고 있어요,구매 목록
c,몊 프로에요?,구매 목록
s,12프로 할인이요,구매 목록
c,할인하고 있어요?,구매 목록
s,아니요,구매 목록
c,아 할인 안 하는 제품이에요?,구매 목록
s,예,구매 목록
c,할인 하는 거에요?,구매 목록
s,아니요,구매 목록
c,할인하는 건가요?,구매 목록
s,아니요,구매 목록
c,할인해요?,구매 목록
s,네 할인하고 있어요,구매 목록
c,몇 프로 하는 거에요?,구매 목록
s,10프로 할인이요,구매 목록
c,할인하고 있어요?,구매 목록
s,네,구매 목록
c,얼마로 할인해요?,구매 목록
s,어,구매 목록
c,몇 프로에요?,구매 목록
s,어 13프로 할인하고 있어요,구매 목록
c,할인하고 있어요?,구매 목록
s,네,구매 목록
c,할인은 하지 않나요?,구매 목록
s,할인가격입니다,구매 목록
c,그럼 오십퍼센트 할인인가요?,구매 목록
s,네 맞습니다,구매 목록
c,혹시 할인도 하나요 그게? 할인?,구매 목록
s,안 하는데요. 그게 상품 자체가 매장에 없으니까,구매 목록
c,할인은 하지 않나요?,구매 목록
s,할인가격입니다,구매 목록
c,그럼 오십퍼센트 할인인가요?,구매 목록
s,네 맞습니다,구매 목록
c,이 자켓도 할인중인가요?,구매 목록
s,네 십퍼센트 할인중입니다,구매 목록
c,이거 선불카드 십프로 할인되는거죠?,구매 목록
s,네. 맞아요,구매 목록
c,세일하나요?,구매 목록
s,원래 십삼만팔천원이었어요,구매 목록
c,할인은 하지 않나요?,구매 목록
s,할인가격입니다,구매 목록
c,그럼 오십퍼센트 할인인가요?,구매 목록
s,네 맞습니다,구매 목록
c,언제까지 할인인가요?,구매 목록
s,이번주까지 할인입니다,구매 목록
c,이 자켓도 할인중인가요?,구매 목록
s,네 십퍼센트 할인중입니다,구매 목록
c,그러면 이거 좀 현금으로 하면 좀 깍아주시나요?,구매 목록
s,현금으로 하면 십프로 디시해드려요,구매 목록
c,카드 결제보다는 현금 결제를 하면 좀 더 디시해주시는거죠?,구매 목록
s,네,구매 목록
c,십프로요?,구매 목록
s,네. 십프로 해드려요,구매 목록
c,그러면 이것도 십프로정도 디시해주실 수 있으세요?,구매 목록
s,구만오천원에 구천오백원 빼보세요,구매 목록
c,좀 더 깍아주시면 안되요?,구매 목록
s,십일만원에 드릴게요,구매 목록
c,이거는 몇프로에요?,구매 목록
s,삼십프로요,구매 목록
c,바지는 몇프로씩 하나요?,구매 목록
s,신상은 삼십프로,구매 목록
c,세일은 안하나요?,구매 목록
s,오늘 구매하시면 십프로 할인해드리고 롯데백화점 카드 있으시면 오프로 추가 할인 해드리겠습니다,구매 목록
c,세일하는 거에요?,구매 목록
s,네 지금 세일해요,구매 목록
c,아 이게 이것만 세일 하는 거에요?,구매 목록
s,네 맞아요,구매 목록
c,세일하나요?,구매 목록
s,원래 십삼만팔천원이었어요,구매 목록
c,세일하나요?,구매 목록
s,원래 십삼만팔천원이었어요,구매 목록
c,세일하나요?,구매 목록
s,원래 십삼만팔천원이었어요,구매 목록
c,몇 프로 세일하는 거에요?,구매 목록
s,칠십프로요,구매 목록
c,할인이 된건가요?,구매 목록
s,네 오십칠프로 된거네요,구매 목록
c,할인이 된건가요?,구매 목록
s,네 칠십삼프로 할인된거에요,구매 목록
c,이것도 지금 세일해요?,구매 목록
s,원래 세일 오십 프로보다 더 했죠,구매 목록
c,지금 세일 하는 거예요?,구매 목록
s,네. 원래는 조끼가 오십 프로 하면 육만 구천 원인데 지금 사만 구천 원 하는 거예요,구매 목록
c,그럼 지금 얼마나 세일하는 거예요?,구매 목록
s,세일이 오십 프로 보다 훨씬 더 들어간 거죠,구매 목록
c,요즘은 뭐 할인되는 품목 없어요?,구매 목록
s,있지 왜 없어요,구매 목록
c,있어요?,구매 목록
s,요즘은 다 할인이죠,구매 목록
c,이건 더 세일 안 하나요?,구매 목록
s,여기서 더 세일하면 그냥 줘야지 뭐,구매 목록
c,세일 더 할 수 있는 방법이 없을까요?,구매 목록
