발화자,발화문,인텐트
s,고객님은 칠센치가 더 잘어울립니다,상품 추천
c,이 옷에 어울릴 만한 원피스가 있을까요?,상품 추천
s,네 있어요 여기 한번 보세요,상품 추천
c,한치수 작게 입는게 좋나요?,상품 추천
s,네,상품 추천
s,이건 어떠신가요?,상품 추천
c,괜찮네요,상품 추천
c,아 그래요 가장 일반적인게 뭐죠,상품 추천
s,트리플 A 나 프린팅스타 많이들 합니다,상품 추천
c,가장 일반적으로 많이 하나요,상품 추천
s,인쇄비가 싸고,상품 추천
c,호수가 나눠 지는군요,상품 추천
c,그럼 어떻게 주문하면 되죠,상품 추천
s,아동 이어도 체격이 크거나 고학년의 경우는 성인 사이즈로 하시면 됩니다,상품 추천
c,그럼 어떻게 로고 색상을 정하는게 좋을까요,상품 추천
s,로고 색상에 따른 색상 팁을 안내해 드릴게요,상품 추천
c,다섯 가지 색상요,상품 추천
s,네,상품 추천
s,적색 청색 녹색 황색 진회색,상품 추천
c,다른 색상인 경우에는,상품 추천
s,그리고 멜란지에 어울리는 추천 색상은,상품 추천
c,네 레드계열 말씀하시는 거죠,상품 추천
s,네 흰색 회색 노란색 파란색 녹색 이렇게 추천드려요,상품 추천
c,아 네 다른색상은 또 없는가요,상품 추천
s,연핑크 계열이 있지요,상품 추천
c,아 핑크계열의,상품 추천
s,핑크 계열은 적색 군청색 청색 녹색 회색 추천 드려요,상품 추천
c,색상 참 많네요,상품 추천
s,그렇죠 흑색 녹색 군청색 흰색 보라색 어울려요,상품 추천
c,아 그래요 노란색은요,상품 추천
s,흑색 보라 연보라 녹색 퍼플색이 어울립니다,상품 추천
c,이거 저한테 너무 크지 않나요?,상품 추천
s,그게 원래 조금 크게 나왔어요,상품 추천
c,이거랑 잘 어울리는 바지 있나요?,상품 추천
s,네 있어요,상품 추천
c,그러면 검은색이 더 낫나요?,상품 추천
s,검은색 많이 입으세요,상품 추천
s,이 퀼팅 자켓은 어떠세요? 새로 나온 신상이에요,상품 추천
s,아니면 이런 클래식 롱코트는 어떠세요?,상품 추천
c,이것도 디자인은 무난하네요,상품 추천
c,이건 뭐랑 입으면 좋을까요?,상품 추천
s,오피스룩으로 입어도 좋고 청바지랑 입어도 잘 어울려요,상품 추천
s,데저트색이랑 포레스트다크색중에 어떤걸로 드릴까요?,상품 추천
c,데저트색 한 켤레 주세요,상품 추천
s,이건 어떠세요.브이넥 니트에요,상품 추천
s,그럼 바지를 사셔야 겠네요?,상품 추천
c,네 청바지 붙어 사야 할 것 같아요,상품 추천
s,청바지는 기모 있는 거 드릴까요?,상품 추천
c,네 이제 추워서  기모 없으면 못 입겠어요,상품 추천
s,기모 청바지는 여기 많아요 골라 보시겠어요?,상품 추천
c,이 청바지가 이쁜데요  좀 얇아 보이네요,상품 추천
s,그거 그냥 입고 가셔도 되겠는걸요?,상품 추천
c,그럼 그럴까요,상품 추천
s,다른 것도 한번  보시겠어요?,상품 추천
c,청바지랑 입을티 한번 보여 주세요,상품 추천
s,이티 어때요? 손님한테 잘 어울리실 것 같은데요,상품 추천
c,색깔이 특이하네요,상품 추천
s,약간 인디핑크 같은데 보라빛도 보이죠?,상품 추천
c,네 특이하긴 한데 너무 이뻐요,상품 추천
c,저야 너무 감사하지요 그리고 원피스도 사야 해요 원피스 좀 보여 주시겠어요?,상품 추천
s,원피스는 이쪽에 있어요,상품 추천
s,그런데 손님은 밝은 색이 더 잘 어울리니까  이거 하시지요?,상품 추천
c,그럼 그럴까요,상품 추천
c,사장님 덕에  이쁜 옷을 싸게 살 수 있어서 기분이 좋네요 코트도 보여 주시겠어요?,상품 추천
s,코트는 이쪽에 있어요,상품 추천
s,모직 코트는 이렇게 세 개 있어요 골라 보시겠어요?,상품 추천
c,이게 이쁘네요,상품 추천
s,그게 마음에 드세요?,상품 추천
c,네 입어 볼게요,상품 추천
c,어때요?,상품 추천
s,색깔이 참 잘 어울리세요,상품 추천
c,그래요? 저는이 색을 좋아해요,상품 추천
s,네  그러신 거 같아요,상품 추천
s,패딩코트는 필요하지 않아요?,상품 추천
c,필요하지요,상품 추천
c,그래도 이거 하나 있으면 겨울에 쉽지 않을 거 같은데요?,상품 추천
s,그렇지요 이것도 하나 하세요,상품 추천
c,같이 좀 보면서 도와드릴까요?,상품 추천
s,네 그래주세요,상품 추천
c,검은색이 제일 잘나가나요?,상품 추천
s,물론이죠,상품 추천
c,좀 어떠세요?,상품 추천
s,거울좀 볼게요,상품 추천
c,굉장히 잘어울리시는데요,상품 추천
s,좋아 보이긴하네요,상품 추천
c,다른 패딩도 보여드릴까요?,상품 추천
s,네  부탁드립니다,상품 추천
c,처음게 더 나아보이세요,상품 추천
s,저도 그렇게 느꼇습니다,상품 추천
c,롱패딩도 보여드릴까요?,상품 추천
s,부탁드립니다,상품 추천
c,아직까진 롱패딩이 잘나가죠?,상품 추천
s,비슷합니다,상품 추천
c,천천히 보시고 맘에 드는거 있음 사이즈 찾아드릴게요,상품 추천
s,네 말씀드릴게요,상품 추천
c,아 다른색이라 잘 모르겠네요,상품 추천
s,잘 어울리시는데요?,상품 추천
c,이게 조금 들어간거구요,상품 추천
s,이건 로고가 박혀있네요,상품 추천
c,로고있는건 안좋아하시나봐요?,상품 추천
s,네 심플한거 좋아해서요,상품 추천
c,그럼 로고 있는건 뺄게요,상품 추천
s,네 그래주세요,상품 추천
c,이게 기모 좀 많이 들어간거에요,상품 추천
s,입어볼게요,상품 추천
c,이것도 좋네요,상품 추천
c,다음으로 집업 좀 보여주실래요?,상품 추천
s,이쪽으로 오세요,상품 추천
c,그다음 기모후드 보여드릴까요?,상품 추천
s,네 기모후드 보여주세요,상품 추천
c,아우터보다 잘 안나가나요?,상품 추천
s,아뇨 비슷해요,상품 추천
c,집업말고 후드티는 안보시나요?,상품 추천
s,보여주세요,상품 추천
c,어떠세요?,상품 추천
s,확실히 따뜻하긴 하네요,상품 추천
c,바지는 원하는거 있으세요?,상품 추천
s,청바지랑,상품 추천
c,청바지는 버클식 고무줄식 두가지 있어요,상품 추천
s,둘 다 볼게요,상품 추천
c,겨울이라 기모 들어있는게 아무래도 잘나가구요,상품 추천
s,기모청바지 좋죠,상품 추천
c,답답한 버클식보다 편한 고무줄식 많이 찾으세요,상품 추천
s,고무줄이라,상품 추천
c,이거 잘나가는건데 어떠세요?,상품 추천
s,안맞을 것 같은데,상품 추천
c,입어보시면 다르실거에요,상품 추천
s,그럼 먼저 입어볼게요,상품 추천
c,고객님 어떠신가요?,상품 추천
s,일단 사이즈는 나쁘지 않네요,상품 추천
c,혹시 불편하시거나 그러진 않으신가요?,상품 추천
s,그렇진 않네요 스판이라,상품 추천
c,스판기가 있어서 타이트한 느낌은 있지만 불편하진 않으실거에요,상품 추천
s,그렇긴 하네요,상품 추천
c,이건 어떠세요?,상품 추천
c,겨울에 청바지 기모 없으면 추우실텐데요?,상품 추천
c,면바지는 저희가 많이 있진 않습니다,상품 추천
s,네,상품 추천
s,반짝이는 실로 짜여 있는 니트는 어떠세요?,상품 추천
c,별루요,상품 추천
s,반짝이는 실로 짜여 있는 니트는 어떠세요?,상품 추천
c,예쁘네요,상품 추천
s,셔츠형니트 한번 보세요?,상품 추천
c,멋있네요,상품 추천
s,다른 스타일 보여드릴까요?,상품 추천
c,보여주세요,상품 추천
s,나팔 청바지는 어떠세요?,상품 추천
c,괜찮아요,상품 추천
s,고객님은 키가 크시고 날씬하셔서 뭐든 잘 어울리시겠어요 이거 어떠세요?,상품 추천
c,네 잠시만요,상품 추천
s,네 이쪽에서 도와 드리겠습니다 여기 있는 세 디자인이 사람들이 많이 좋아하는 디자인인데 어떠세요?,상품 추천
s,찾으시는 거 도와 드릴까요,상품 추천
c,친구한테 선물 하려고요,상품 추천
c,어떤 컬러가 좋나요 골라 주세요,상품 추천
s,루키브로그 색상 골라주실래요?,상품 추천
c,네네,상품 추천
s,밑창에  따라 디테일이  틀린데 이거 괜찮으세요?,상품 추천
c,네 이걸로할게요,상품 추천
c,네네 세무 테슬 중에 잘나가는 색 있나요?,상품 추천
s,주황색 어떠시죠?,상품 추천
s,네 잠시만요 요 색상이에요 어떠세요?,상품 추천
c,색상은 어떤게 인기있어요?,상품 추천
s,개인적으로는 다크 레드 이뻐 보여요,상품 추천
s,네 트레포일있어요 이제품어떠세요?,상품 추천
s,스탠스미스 혹시 필요하지 않으세요?,상품 추천
c,아니요 지퍼 없는 거는 맘에 드는 것 같아요. 검정색이 저한테 잘 어울리나요?,상품 추천
s,네. 고객님한테 잘 어울리세요,상품 추천
c,이 색이 더 잘 어울리나요.?,상품 추천
s,고객님은 그 색이 더 잘 어울리시네요,상품 추천
c,그러면 퍼플색이 더 낫나요?,상품 추천
s,퍼플색 많이 입으세요,상품 추천
s,이런거 어떠세요? 천도 너무 좋고,상품 추천
c,이렇게 화려한거 싫더라고요 심플한거가 좋지,상품 추천
s,이런 남색 어떠세요,상품 추천
s,이렇게 조금 밝은색 화사한거는 어떠세요 봐요 얼굴이 환해보이잖아요,상품 추천
s,칼라가 맘에 드시면 이 디자인으로 하세요,상품 추천
s,이것도 입어볼래요?,상품 추천
s,이거 입어보세요. 이거는 라운드넥 한 가지로 입어요,상품 추천
c,네 단추좀 채워볼게요,상품 추천
s,아랫쪽 단추는 요렇게 몇 개 풀어놓으셔도 좋고요,상품 추천
c,괜찮네요,상품 추천
c,매우 높은 친구지요 가격은 상관하지 말고 추천해 주시겠어요?,상품 추천
s,네 그렇게 하겠습니다. 그럼 상의 하의 별로 선호도가 좋은 걸 먼저 초이스해드릴게요 괜찮으시지요?,상품 추천
c,네 좋아요,상품 추천
s,이런 스타일은 어떻습니까?,상품 추천
s,네 니트로 된 바지도 있고요. 추리닝 원단으로 된 거 약간 요즘에 유행하는 기모 좋고 바지도 있어요,상품 추천
c,아 이것도 편하겠네요,상품 추천
s,네네 굉장히 편해요,상품 추천
s,아니면 이 상품도 요즘 인기 많은데 이 상품은 어떠세요?,상품 추천
c,아 저는 이 옷이 너무 마음에 들어서 아 그냥 여성용 큰 사이즈로 살까,상품 추천
s,화려한 패턴의 스타일은 어떠세요?,상품 추천
c,예쁘네요,상품 추천
s,큐빅이 박혀 있는 스타일은 어떠세요?,상품 추천
c,이것도 예쁘네요 잘 맞을 거 같아요,상품 추천
s,얼굴에 잘 받으시네요 예뻐요 어떠세요?,상품 추천
c,마음에 들어요 저한테 잘 어울리네요,상품 추천
s,어떠세요?잘 어울리시는 것 같은데요,상품 추천
c,편하고 포근하네요,상품 추천
s,여기요 걸쳐보세요 초코 색이 더 잘 어울리시는 것 같아요 어떠세요?,상품 추천
c,마음에 들어요,상품 추천
c,요즘 유행이 뭐에요?,상품 추천
s,숏 조끼에요,상품 추천
s,어떠세요?,상품 추천
c,짧지는 않네요,상품 추천
s,원피스 스타일은 어떠세요?,상품 추천
c,보여주세요,상품 추천
s,어떠세요?,상품 추천
c,길이도 적당하고 예뻐요,상품 추천
s,어떠세요?,상품 추천
c,회색이 이뻐요,상품 추천
s,같이 입을 레깅스도 보여드릴까요?,상품 추천
c,보여주세요,상품 추천
c,요즘 유행하는 점퍼가 있나요?,상품 추천
s,요즘은 다 개성있게 입어서 여러가지가 있습니다,상품 추천
s,이것은 어떠세요,상품 추천
c,이 소라색 말고 커플로 입을려면 어떤색이 잘나가나요?,상품 추천
s,화이트 나 카키 블랙등이 무난해서 많이 나갑니다,상품 추천
s,롱 패딩은 어떠세요,상품 추천
c,긴패팅이 더 실용적일까요?,상품 추천
s,네 긴것은 추운날 아무래도 짧은것보다는 많이 입게되죠,상품 추천
s,좀 발랄한것을 찾으시면 이런 항공 점퍼는 어떤가요?,상품 추천
c,이런것을 입을때는 어떤바지가 어울리나요?,상품 추천
s,이렇게 넉넉한 점퍼에는 좀 몸에 맞는 바지가 더 날씬해 보입니다,상품 추천
s,이런것은 어떤가요,상품 추천
c,바지에 어울리나요?,상품 추천
s,네 검정바지에 입으시면 깨끗하면서도 고급스러운 느낌이 듭니다,상품 추천
s,이것은 어떠세요?,상품 추천
s,단색으로는 이건 어떠신가요?,상품 추천
s,좀 화려하지만 이런건 어떠세요?,상품 추천
c,겨울에는 어떤것이 더 좋을까요?,상품 추천
s,아무래도 조금 어두운것을 많이 선택합니다,상품 추천
s,이제품도 괜찮은데 보시겠어요?,상품 추천
s,여기 마네킹이 쓰고 있는 모자 어떠세요?,상품 추천
c,예쁘네요,상품 추천
c,파랑색이 더 예쁜가요?,상품 추천
s,파랑색도 잘 어울리시네요,상품 추천
c,그래도 노랑색이 더 예쁜 거 같지 않나요?,상품 추천
s,네 그런거같아요,상품 추천
c,검정색이 더 잘어울리지요?,상품 추천
s,네 검정색이 더 잘 맞으시네요,상품 추천
c,넥타이는 선물 하려는데 좀 골라주시겠어요?,상품 추천
s,네 그럴께요,상품 추천
s,선물 받으시는 분 연세가 어떻게 되세요?,상품 추천
c,오십중반이예요,상품 추천
s,화려한 걸 좋아하시나요?,상품 추천
c,아니요 점잖으신 분이세요,상품 추천
s,그럼 이 줄무늬는 어때요?,상품 추천
c,노랑색이 더 예쁜가요?,상품 추천
s,노랑색도 잘 어울리시네요,상품 추천
c,그래도 카키색이 더 예쁜 거 같지 않나요?,상품 추천
s,네 그런거같아요,상품 추천
c,꽃무니가색이 더 잘 마지요?,상품 추천
s,네 꽃무니가 더 잘 맞으시네요,상품 추천
s,좀 도와드릴까요?,상품 추천
c,네네,상품 추천
s,무엇을 도와드릴까요?,상품 추천
c,아우터 고르는것좀 도와주실래요?,상품 추천
s,아우터 고르는것좀 도와드릴까요?,상품 추천
c,네네,상품 추천
s,그럼 먼저 고르시겠어요?,상품 추천
c,네,상품 추천
c,무슨차이에요?,상품 추천
c,가죽은 모르겠어요 잘나가는걸로 골라주실래요?,상품 추천
s,그럼 소가죽으로 드릴게요,상품 추천
s,또 어떤거 드릴까요?,상품 추천
s,네있죠 어떤거 드릴까요?,상품 추천
c,회색 하나 주세요,상품 추천
c,트렌치코트는 어떤거있어요?,상품 추천
s,검정색이랑 베이지색있어요 어떤걸로 드릴까요?,상품 추천
c,베이지색한벌 주세요,상품 추천
s,남색이랑 카키중에어떤걸로하실래요?,상품 추천
c,카키로 한개주세요,상품 추천
s,이제품들이에요 어떠세요?,상품 추천
c,어떤게 멋있어요?,상품 추천
s,남색이무난하구요 회색도 느낌있어요 어떠세요?,상품 추천
s,네 어떤거찾으시죠?,상품 추천
s,와인이랑 핑크뮬리중에 어떤거하실래요?,상품 추천
c,핑크뮬리요,상품 추천
s,다른 제품은 안 필요하세요?,상품 추천
s,버클자켓 혹시 필요하지 않으세요?,상품 추천
s,이 나일론셔츠어떠세요?,상품 추천
c,괜찮네요,상품 추천
s,그럼 이건 어떠세요,상품 추천
c,이건 넉넉해보이는데 신축성은 없는것같은데 움직일때 불편하지않을까요?,상품 추천
s,그럼 스판인 바지를 큰 사이즈로 가져가시는건 어떠세요,상품 추천
s,150사이즈면 될것같은데 어떠세요?,상품 추천
c,아뇨 그것도 답답하다고 안입으려할것같아요. 160보여주세요,상품 추천
c,네 저 남색으로 하나 보여주세요 안에는 어떤걸 입는게 나을까요?,상품 추천
s,안에는 일반 면티 입어도 되요,상품 추천
s,면티도 막 반팔이나 진한 컬러풀 색상 보다는 단색으로 흰색이나 검은색도 괜찮고 목폴라나 니트도 괜찮아요,상품 추천
c,네 그럼 겉옷은요?,상품 추천
s,겉옷은 자켓이 나아요,상품 추천
c,외투는 롱패팅이 났겠죠?,상품 추천
s,롱패딩도 낫고 짧은것도 괜찮아요 그건 손님 마음입니다,상품 추천
c,네 저 남색으로 하나 보여주세요 안에는 어떤걸 입는게 나을까요?,상품 추천
s,안에는 일반 면티 입어도 되요,상품 추천
s,면티도 막 반팔이나 진한 컬러풀 색상 보다는 단색으로 흰색이나 검은색도 괜찮고 목폴라나 니트도 괜찮아요,상품 추천
c,네 그럼 겉옷은요?,상품 추천
s,겉옷은 자켓이 나아요,상품 추천
c,어떤 자켓이요?,상품 추천
s,일반 기본 정장 자켓이요,상품 추천
c,조거팬츠에 맞는 트래킹자켓도 좀 추천해 주시겠어요?,상품 추천
s,네 여기서 골라보세요,상품 추천
s,8포스 올리바색은 안필요하신가요?,상품 추천
c,버전은 모르겠어요 잘나가는걸로 골라주실래요?,상품 추천
s,그럼 19버전으로 드릴게요,상품 추천
s,이게 시즌에 따라 디테일이 다른데 이거 괜찮으세요?,상품 추천
c,네 이걸로할게요,상품 추천
c,하이퍼그레이프중에 잘나가는 색 있나요?,상품 추천
s,회보색 어떠시죠?,상품 추천
s,라이트브라운도 있는데 그걸로하실래요?,상품 추천
c,네 그걸로할게요,상품 추천
s,네 써밋플레이 다른색은 필요없으세요?,상품 추천
c,다른색은 레드와인으로 할게요,상품 추천
c,시즌은 모르겠어요 잘나가는걸로 골라주실래요?,상품 추천
s,그럼 이십시즌으로 드릴게요,상품 추천
c,데저트오레중에 잘나가는 색 있나요?,상품 추천
s,모래색 어떠시죠?,상품 추천
s,아 그레요 좀 도와드릴까요?,상품 추천
s,그럼 미들 사이즈 한번 보실래요,상품 추천
c,내 미들 사이즈 줘 보세요,상품 추천
s,아 후드티에 받쳐 입을 만한거요 그러면 요즘 유행하는 걸로 보여 드릴까요,상품 추천
c,네 그래 주세요,상품 추천
s,얘가 요즘 제일 잘 나가는거에요,상품 추천
s,여러가지 있지만 캡모자가 어울릴 것 같은데,상품 추천
s,네 그리고 나이키 모자도 어울릴 것 같고,상품 추천
c,나이키 모자는 집에 있어요,상품 추천
s,비싸긴 한데 어울릴 만한 모자 한번 보여 드릴까요,상품 추천
c,어때요 어울리나요,상품 추천
s,거울 한번 보세요,상품 추천
s,아 그래요 그럼 다른거로 보여드릴까요,상품 추천
c,네 그래 주세요,상품 추천
s,블랙 컬러로 한번 써 보실래요,상품 추천
c,네 한번 써볼게요,상품 추천
s,고객님 핏 좋아서 다 어울리네요 베이지로 하시겠어요,상품 추천
c,아니요 오늘 산 옷들이 블랙 계열이라서 저는 레드가 맘에 드네요,상품 추천
s,고객님 혹시 스웨터는 있나요,상품 추천
c,이거에 바지는 어떤걸입을까요?,상품 추천
s,잠시만요,상품 추천
s,이거좋을꺼 같은데 어때요?,상품 추천
c,이것도 좋고 이건요?,상품 추천
c,입어봐도되나요?,상품 추천
s,네,상품 추천
c,이게 조금 더 어울릴거같아요 그쵸?,상품 추천
s,네,상품 추천
c,이건 어때요?,상품 추천
s,네 좋아요,상품 추천
s,치마는 어떠세요?,상품 추천
c,아니에요,상품 추천
s,가디건은요?,상품 추천
c,아니에요?,상품 추천
s,기모 바지는 어떠세요?,상품 추천
c,한번보여주세요,상품 추천
s,베이지로는 이게 안나왔는데 이건 어떠세요?,상품 추천
c,좋아요,상품 추천
s,혹시 위에 어울릴만한게 있는데 보시겠어요?,상품 추천
c,네,상품 추천
s,블랙만 있어서요 좋으시다니 이것도 하실래요?,상품 추천
c,네,상품 추천
s,바지랑 레깅스랑 이거 하면 되는데 코트는 어떠세요?,상품 추천
c,생각해보셔야할것같아요,상품 추천
s,아니에요 이건 생각안하셔도되요 진짜 하시면 좋을텐데요 하세요 하시겠어요?,상품 추천
c,네,상품 추천
c,그럼 이것도 구입할까요?,상품 추천
s,네 어울리세요,상품 추천
c,네 검정이랑 어울릴만한게 있나요?,상품 추천
s,이건 어떠세요?,상품 추천
s,이런게 있어요 어떠세요?,상품 추천
c,네 캡슐들어왔어요?,상품 추천
s,아직이요,상품 추천
c,5세면 몇신죠?,상품 추천
s,미디움이면 좋을듯해요,상품 추천
s,3개짜리는 싫으세요?,상품 추천
c,많을것같아서요,상품 추천
s,아니에요 디자인도 더 많아서 3개가 더 좋으실텐데요. 이 디자인있으세요?,상품 추천
c,아니요,상품 추천
s,그럼 이거 하시는건 어떠세요?,상품 추천
c,가격차이 날까요?,상품 추천
s,얼마 안나요,상품 추천
c,그럼 선물은 이게 낫겠죠?,상품 추천
s,네,상품 추천
c,남자면 이게 나을듯한데 그렇죠?,상품 추천
s,상관은 없을것같아요,상품 추천
s,아마포스 웜색은 안필요하신가요?,상품 추천
c,라인은 모르겠어요 잘나가는걸로 골라주실래요?,상품 추천
s,그럼 프리미엄라인으로 드릴게요,상품 추천
c,아 이게 제일 잘나가요?,상품 추천
s,네네,상품 추천
s,산토니오2 색상 골라주실래요?,상품 추천
c,네네,상품 추천
s,불스색이랑 넷츠색중에 어떤걸로하실래요?,상품 추천
c,불스색으로 한개주세요,상품 추천
c,오프레트로중에 잘나가는 색 있나요?,상품 추천
s,핑크화이트색 어떠시죠?,상품 추천
c,오프레트로 핑크화이트색이요?,상품 추천
s,네네,상품 추천
s,이제품들이에요 어떠세요?,상품 추천
c,어떤게 인기있어요?,상품 추천
s,꿀벌색은 개성이살구요 탱크색은 남성스러워요 어떠세요?,상품 추천
c,다른색은 없나요?,상품 추천
s,낫포리바시티 다른색이요?,상품 추천
c,네네,상품 추천
s,레드옥토버색도 있는데 그걸로하실래요?,상품 추천
c,네 그걸로할게요,상품 추천
s,로스콧 혹시 필요하지 않으세요?,상품 추천
c,로스콧도 있어요?,상품 추천
s,네 있는데 보여드릴까요?,상품 추천
s,이거 어떠세요?,상품 추천
c,가디건이에요?,상품 추천
s,네,상품 추천
s,다른것도 보여드릴까요?,상품 추천
c,네,상품 추천
c,저게 나을것 같네요,상품 추천
s,그렇죠? 이게 이뻐요,상품 추천
c,네,상품 추천
s,이건 꼭 사세요,상품 추천
c,이거 허벅지 안붙는게 이쁜거죠?,상품 추천
s,네,상품 추천
s,다른 디자인으로도 보시겠어요?,상품 추천
c,신축성이 좋은 걸로 주세요,상품 추천
s,이거한번 보시겠어요?,상품 추천
c,이건 안이 너무 두꺼워서 답답할것 같은데요,상품 추천
s,이런 원피스는 어떠세요?,상품 추천
c,너무 짧은 것 같아요,상품 추천
s,그럼 이런 긴 원피스는 어떠세요?,상품 추천
c,음 괜찮네요,상품 추천
c,칠부바지에 맞는 짧은팔카디건도 좀 추천해 주시겠어요?,상품 추천
s,네 여기서 골라보세요,상품 추천
s,안타티카 페딩은 어떠세요?,상품 추천
c,한번 보여주세요,상품 추천
s,이 옷은 어때요?,상품 추천
c,가볍네요,상품 추천
s,어두운 회색 잘 어울릴거 같은데요?,상품 추천
c,네 그러네요,상품 추천
c,그러면 초등학교 고학년 정도 되면 입어도 괜찮을까요?,상품 추천
s,입어도 되죠,상품 추천
c,그러면 쫌 크게 입고 싶으면 백사이즈 입으면 좀 널널하게 입을 수 있나요?,상품 추천
s,널널하게 입으실거면 공용을 입으시구요. 백사이즈 입으면 거의 그냥 맞는다고 보시면 돼요,상품 추천
c,아 그러면 초등학생이 입어도 되겠죠?,상품 추천
s,고학년은 아마 맞을 거에요,상품 추천
c,아 그럼 백십을 입으면 좀더 박시하게 보이나요?,상품 추천
s,그렇죠 고객님 백십이 입으시기엔 좀 크죠,상품 추천
c,네 근데 둘 중 뭘 살지 고민이 되서,상품 추천
s,두 개 다 한 번 신어보세요,상품 추천
s,느낌이 조금 다르죠,상품 추천
c,네 어디에 신어도 이쁠 것 같아요,상품 추천
s,네 맞아요 디자인도 심플하고 이뻐서,상품 추천
s,그러면 이 제품이 좋으실 것 같네요,상품 추천
c,저 한 번 더 신어볼게요,상품 추천
c,라인은 모르겠어요 멋있는걸로 골라주실래요?,상품 추천
s,그럼 제일 잘팔리는 걸로 드릴게요,상품 추천
c,제일잘팔리는 거요?,상품 추천
s,네 슬랙스에 입으면 이쁘거든요 어떠세요?,상품 추천
c,네 한번 그렇게 입어봐야겠네요,상품 추천
s,휴고올리도 색상 골라주실래요?,상품 추천
c,네네,상품 추천
s,이게원단에 따라 다르거든요 이거 괜찮으세요?,상품 추천
c,네 이걸로할게요,상품 추천
s,이제품들이에요 어떠세요?,상품 추천
c,어떤게 멋있어요?,상품 추천
s,검정색이무난하구요 회색도 멋있어요 어떠세요?,상품 추천
s,사이즈 어떠세요?,상품 추천
c,딱 좋아요,상품 추천
s,캐나다구스원더 검정색 괜찮으세요?,상품 추천
c,네네,상품 추천
s,몽클레르알베스 검정색 괜찮으세요?,상품 추천
c,네네,상품 추천
s,몽클레르알베스 다크그레이 이제품인데 괜찮으세요?,상품 추천
c,네네,상품 추천
c,네  파라점퍼스 놀란 더 싼제품은 없죠?,상품 추천
s,파라점퍼스 놀란 싼제품이요?,상품 추천
c,네네,상품 추천
s,무스너클 코링튼있어요 이제품어떠세요?,상품 추천
c,괜찮네요,상품 추천
s,텐씨 머스택다운 민트색 이건데 어떠세요?,상품 추천
c,괜찮네요,상품 추천
s,이 구찌육사오어떠세요?,상품 추천
c,괜찮네요,상품 추천
s,네 심플한 화이트 디자인이라 어느 옷에나 어울리는 신발이에요,상품 추천
c,아 네 저 이거 살게요,상품 추천
c,스커트에 맞는 셔츠도 좀 추천해 주시겠어요?,상품 추천
s,네 여기서 골라보세요,상품 추천
c,미니드레스에 맞는 가디건도 좀 추천해 주시겠어요?,상품 추천
s,네 여기서 골라보세요,상품 추천
c,드레스에 맞는 자켓도 좀 추천해 주시겠어요?,상품 추천
s,네 여기서 골라보세요,상품 추천
c,코트에 맞는 남방도 좀 추천해 주시겠어요?,상품 추천
s,네 여기서 골라보세요,상품 추천
s,네 잘 어울리세요 이 털모자도 한 번 착용해 보시겠어요?,상품 추천
s,어떤 스타일 찾으세요?,상품 추천
c,기모 청바지 찾는데요,상품 추천
s,겨울 스커트 어떤것 찾으세요?,상품 추천
c,에이라인 스커트요,상품 추천
c,겨울에 입을려고 하는데 괜찮겠지요?,상품 추천
s,네 겨울 정장용으로 나온 스커트입니다,상품 추천
c,너무 무거워 보이진 않을까요?,상품 추천
s,그렇게 무거워 보이지는 않아요,상품 추천
c,저 어때 보여요?,상품 추천
s,고객님께 아주 잘 어울리시는데요,상품 추천
s,네 그레이 여기있어요 이것도 한번 입어보시겠어요?,상품 추천
c,어떤가요?,상품 추천
s,고객님께 그레이도 잘 어울리시네요,상품 추천
c,어떤것으로 사는게 좋을까요?,상품 추천
s,글쎄요 고객님 입으시는 장소나 상황을 생각하시면서 구매하시면 좋을것 같아요,상품 추천
c,블랙은 어때 보여요?,상품 추천
s,고객님 블랙은 공적인 행사에 기본이고 고객님께 잘어울리시네요,상품 추천
s,스타일리시한거요?,상품 추천
s,엔바 무슨색 드릴까요?,상품 추천
c,슈프림색 주세요,상품 추천
s,엔바 딸기잼색은 안필요하신가요?,상품 추천
c,프린팅은 모르겠어요 잘나가는걸로 골라주실래요?,상품 추천
s,그럼 자수프린팅으로 드릴게요,상품 추천
c,아 이게 제일 잘나가요?,상품 추천
c,이게 만족도가 높나보네요?,상품 추천
s,네 제일 높아요,상품 추천
s,체크양말 있으세요?,상품 추천
s,체크양말에 엄청 어울리는데 어떠세요?,상품 추천
c,체크양말도 하나 사야겠네요,상품 추천
s,큐에스칠이 색상 골라주실래요?,상품 추천
c,도언베쳐중에 잘나가는 색 있나요?,상품 추천
s,그린골드색 어떠시죠?,상품 추천
s,이제품들이에요 어떠세요?,상품 추천
c,어떤게 인기있어요?,상품 추천
s,핑크카모는 여성스럽구요 레드카모는 중성적이에요 어떠세요?,상품 추천
s,블루카모색도 있는데 그걸로하실래요?,상품 추천
s,블루카모색으로 준비해드릴까요?,상품 추천
s,한번 신어보실래요?,상품 추천
s,덕헌터도 필요하세요?,상품 추천
s,풋스케이프도필요하세요?,상품 추천
c,네 필요해요,상품 추천
s,우븐추카 레오파드색괜찮으세요?,상품 추천
s,돈크라이보여드릴까요?,상품 추천
s,엘디나일론 블랙그레이색 괜찮으세요?,상품 추천
s,엘디나일론 화이트그레이색 이제품인데 괜찮으세요?,상품 추천
s,여러 가지 있는데 보여드릴까요?,상품 추천
s,맥스블루색이 괜찮으신가요?,상품 추천
s,상하이맥스구칠 몇개드릴까요?,상품 추천
