,SPEAKER,SENTENCE,MAIN
4568,고객,굽이 몇 센티죠?,의류 문의
4569,점원,6센티인데 기능성으로 돼있어서 밖으로는 4센티밖에 안 돼 보여요,의류 문의
4570,고객,직접 만드시는 거예요?,의류 문의
4571,점원,네 수제화라서 사이즈 안 맞으시면 주문하셔도 돼요,의류 문의
4572,고객,이거는 사이즈 35인 거예요?,의류 문의
4573,점원,네 바닥과 느낌만 보시면 돼요,의류 문의
4574,고객,베이지랑 검정이에요?,의류 문의
4575,점원,네 두 가지 색상 있어요,의류 문의
4576,고객,신상품으로 나온거 없어요?,의류 문의
4577,점원,이런 스타일은 지금 새로 만들어 나온거예요,의류 문의
4578,고객,그건 굽 높이가 어떻게 되요?,의류 문의
4579,점원,4. 5센티예요,의류 문의
4580,고객,이건 소재가 뭐예요?,의류 문의
4581,점원,바닥이 우레탄 소재라서 굽은 5센티인데 느낌은 편하실거예요,의류 문의
4582,점원,신발은 검은색만 신으세요?,의류 문의
4583,고객,꼭 그렇지는 않은데,의류 문의
4584,고객,이런 거는 얼마예요?,의류 문의
4585,점원,그거는 신상품인데 세일해서 7만 5천 원까지 해드릴게요,의류 문의
4586,고객,한 번 신어볼까?,의류 문의
4587,점원,네 신어보세요,의류 문의
4588,고객,이건 무슨 색이예요?,의류 문의
4589,점원,카키색인데 아무 옷이나 어울려서 인기가 좋아요,의류 문의
4590,고객,걸어봐도 되죠?,의류 문의
4591,점원,그럼요,의류 문의
4592,고객,이게 35인가요?,의류 문의
4593,점원,네 35예요,의류 문의
4594,고객,여기가 다른 데보다 조금 크게 나오나 보다,의류 문의
4595,점원,여기는 정 사이즈로 나옵니다,의류 문의
4596,점원,디자인 잘 어울리는데 어떠세요?,의류 문의
4597,고객,이것도 발이 편하고 괜찮네,의류 문의
4598,고객,이거 8만 원?,의류 문의
4599,점원,19만 5천 원짜리예요,의류 문의
4600,고객,이게 미끄럽지 않을까?,의류 문의
4601,점원,우레탄은 미끄럼 방지가 다 돼있어요,의류 문의
4602,고객,이 리본 달린 거 검은색 235 있어요?,의류 문의
4603,점원,블랙은 주문을 하셔야 되는데요,의류 문의
4604,고객,주문을 해야 된다고요?,의류 문의
4605,점원,네 사이즈가 빠졌어요,의류 문의
4606,고객,모양은 한 번 봐도 되죠?,의류 문의
4607,점원,당연하죠,의류 문의
4608,고객,이거는 얼마인데요?,의류 문의
4609,점원,2만 5천 원이요,의류 문의
4610,고객,이거 수제화는 아니죠?,의류 문의
4611,점원,네 그래도 되게 편해요 쿠션감도 괜찮고요,의류 문의
4612,점원,색상만 다르게해서 35로 한 번 신어보세요,의류 문의
4613,고객,맨발로 신으니까 조금 살랑한 거 같은데 이게 35예요?,의류 문의
4614,점원,아까 보신 블랙이 30은 있는데 신어보시겠어요?,의류 문의
4615,고객,네 한 번 신어 볼게요,의류 문의
4616,점원,어떠세요? 안 불편하세요?,의류 문의
4617,고객,발가락이 딱 끼이네,의류 문의
4618,점원,너무 끼이시면은 35 하시는 게 좋겠어요 쿠션 넣고 사이즈 줄여드릴게요 ,의류 문의
4619,고객,이제 편하네,의류 문의
4620,고객,이게 신다 보면 많이 늘어나고 그러나요?,의류 문의
4621,점원,그렇지는 않습니다,의류 문의
4622,고객,가죽은 아니잖아요?,의류 문의
4623,점원,네 아니예요,의류 문의
4624,고객,겨자색이라 때 타면 감당을 못할 거 같은데요?,의류 문의
4625,점원,에나멜이라서 먼지가 잘 안 묻어요,의류 문의
4626,고객,에나멜이면 잘 긁히겠네요?,의류 문의
4627,점원,스크래치는 좀 나죠,의류 문의
4628,고객,주문하면 얼마 만에 와요 ?,의류 문의
4629,점원,"한 2, 3일 정도 걸립니다",의류 문의
4630,고객,이 신은 키높이 슈즈인가요?,의류 문의
4631,점원,네 키높이 슈즈예요,의류 문의
4632,고객,몇 센티예요?,의류 문의
4633,점원,8센티인데 굉장히 편해요,의류 문의
4634,고객,한 번 신어봐도 될까요?,의류 문의
4635,점원,사이즈를 봐드릴게요 몇 신으세요?,의류 문의
4636,고객,제가 35인데 ,의류 문의
4637,점원,이게 35예요 한 번 신어보세요,의류 문의
4638,점원,어떠세요? 잘 맞으세요?,의류 문의
4639,고객,길이는 맞는데 발등이 쬐네 ,의류 문의
4640,고객,반짝이를 직접 붙인 거예요?,의류 문의
4641,점원,일일이 수작업으로 붙입니다,의류 문의
4642,고객,떨어지지는 않아요?,의류 문의
4643,점원,안 떨어져요 ,의류 문의
4644,고객,이거는 얼마인데요?,의류 문의
4645,점원,5만 5천 원입니다,의류 문의
4646,고객,한국에서 만들은 거네?,의류 문의
4647,점원,네 국산 겁니다.,의류 문의
4648,고객,사이즈가 좀 끼이는데 어떡해요?,의류 문의
4649,점원,양말 말고 덧버선 같은 거 신으면 괜찮아요,의류 문의
4650,고객,여름에는 못 신을 것 같은데요?,의류 문의
4651,점원,한 여름만 빼놓고 4계절 다 신습니다,의류 문의
4652,점원,구두 찾으세요?,의류 문의
4653,고객,구두든 단화든 상관없어요,의류 문의
4654,점원,발 사이즈가 어떻게 되십니까?,의류 문의
4655,고객,35.0,의류 문의
4656,점원,굽 높이는 아무거나 상관없어요?,의류 문의
4657,고객,"굽 높이는 좀 낮으면 좋아요 편하게 한 3, 4센티",의류 문의
4658,고객,이게 3센티예요?,의류 문의
4659,점원,네 맞아요,의류 문의
4660,고객,이게 고동색 인가요?,의류 문의
4661,점원,고동색 맞아요 이쁘고 신으면 발도 편해요,의류 문의
4662,고객,신발은 신어 볼 수 있어요? ,의류 문의
4663,점원,그럼요 이게 35예요,의류 문의
4664,고객,국산이에요?,의류 문의
4665,점원,네 맞춤 구두입니다.,의류 문의
4666,점원,스타킹 드릴까요?,의류 문의
4667,고객,아뇨 그냥 맨발로 신을게요,의류 문의
4668,고객,이게 35인데 되게 커 보이는데요?,의류 문의
4669,점원,발을 감싸줘서 그렇게 보이네요,의류 문의
4670,고객,이거는 4센티?,의류 문의
4671,점원,네 그 정도예요,의류 문의
4672,점원,어떠세요? 작아요?,의류 문의
4673,고객,아뇨 작지는 않는데 ,의류 문의
4674,고객,여기 다 수제화예요?,의류 문의
4675,점원,네 다 수제화입니다.,의류 문의
4676,점원,이것도 신발 편한데 한 번 신어보시겠어요?,의류 문의
4677,고객,네,의류 문의
4678,점원,편하죠?,의류 문의
4679,고객,발은 진짜 편한데 색깔이 마음에 안 든다.,의류 문의
4680,점원,어떤 색깔 찾으세요?,의류 문의
4681,고객,빨간색 이거 좀 괜찮을 거 같고,의류 문의
4682,고객,이거는 굽이 몇 센티예요? 한 4 센티인가?,의류 문의
4683,점원,네 둘 다 똑같습니다.,의류 문의
4684,고객,이거는 얼마예요?,의류 문의
4685,점원,이쪽이 16만 원 저쪽은 15만 원입니다,의류 문의
4686,고객,여름 신발이 벌써 나왔나 봐요?,의류 문의
4687,점원,작년 여름에 나왔던 신발이 계속 나오는 겁니다,의류 문의
4688,점원,단화 찾으시는 거예요?,의류 문의
4689,고객,단화도 괜찮고,의류 문의
4690,점원,사이즈 얼마 신으십니까?,의류 문의
4691,고객,35요,의류 문의
4692,고객,봄 상품도 세일해요?,의류 문의
4693,점원,20% 해드려요,의류 문의
4694,점원,이게 넓게 나왔는데 어떠세요?,의류 문의
4695,고객,넓게 나와도 안될 거 같은데,의류 문의
4696,점원,한 번 신어보세요,의류 문의
4697,고객,네 가볍네,의류 문의
4698,고객,얼마예요?,의류 문의
4699,점원,정가는 10만 9천 원이예요,의류 문의
4700,고객,이게 35예요?,의류 문의
4701,점원,네 맞아요,의류 문의
4702,고객,신고 걸어볼게요,의류 문의
4703,점원,네 두 개 같이 신고 걸어보세요 발도 무척 편안해요,의류 문의
4704,고객,발목이 약간 불편하기는 한데,의류 문의
4705,점원,새신이라서 신다 보면 가죽이라서 발에 맞게 편해집니다,의류 문의
4706,고객,약간 헐렁한데 한 치수 작은건 어때요?,의류 문의
4707,점원,겨울에는 옷도 두껍게 입고 양말도 두껍게 신으니까 부츠는 조금씩 넉넉한게 좋아요,의류 문의
4708,고객,이게 수제화예요?,의류 문의
4709,점원,네 맞습니다,의류 문의
4710,고객,쌈지 거예요?,의류 문의
4711,점원,여러 가지 있어요,의류 문의
4712,점원,봄에 신으려면 이런 거는 어떠세요?,의류 문의
4713,고객,그것도 이쁘네,의류 문의
4714,고객,되게 커보이는데요?,의류 문의
4715,점원,약간 크게 나왔는데 양말 벗고 신으면 이뻐요,의류 문의
4716,점원,굽 높은 거 찾으세요?,의류 문의
4717,고객,네 굽 7센티 정도 되는 거,의류 문의
4718,점원,사이즈 어떻게 되십니까? ,의류 문의
4719,고객,45신어요,의류 문의
4720,고객,굽 조정됩니까?,의류 문의
4721,점원,네 굽 조정됩니다.,의류 문의
4722,고객,이게 인기가 많은가봐요?,의류 문의
4723,점원,네 많이 나갑니다,의류 문의
4724,고객,구두 소재는 뭐예요?,의류 문의
4725,점원,양가죽이이예요,의류 문의
4726,고객,신어봐도 되나요?,의류 문의
4727,점원,네 한 번 신어보세요,의류 문의
4728,점원,편하시죠?,의류 문의
4729,고객,편하긴 한데 양가죽이 좀,의류 문의
4730,고객,이거 검은색 45 한 번 신어볼게요,의류 문의
4731,점원,이게 지금 40입니다.,의류 문의
4732,고객,작지 싶은데?,의류 문의
4733,점원,수제화라 꽉 끼시면 조절하면 됩니다.,의류 문의
4734,고객,색깔을 좀 바꾸고 싶은데요? ,의류 문의
4735,점원,이 색은 어떠세요?,의류 문의
4736,고객,카키색은 너무 진해서 저한테 안 맞더라고요,의류 문의
4737,고객,이거 얼마예요?,의류 문의
4738,점원,14만 9천 원이요,의류 문의
4739,고객,할인은 안되시고요?,의류 문의
4740,점원,현금하면 만 원 할인해줍니다,의류 문의
4741,고객,소가죽이 나아요 양가죽이 나아요?,의류 문의
4742,점원,손님 같은 분들은 발 볼이 넓으시니까 양가죽을 권유합니다,의류 문의
4743,고객,이거 양가죽으로 해도 똑같이 14만 원?,의류 문의
4744,점원,양가죽으로 하면 만 원 정도 추가되는데 제가 그 가격에 드릴게요,의류 문의
4745,고객,오늘 일요일인데도 영업을 하시네요?,의류 문의
4746,점원,네 합니다,의류 문의
4747,고객,학생 신을 건데요 흰색 운동화,의류 문의
4748,점원,무조건 흰색이어야 돼요?,의류 문의
4749,고객,네,의류 문의
4750,고객,딸이 신을 건데 250이거든요?,의류 문의
4751,점원,250이요,의류 문의
4752,고객,굽이 이렇게 높아가 신겠나?,의류 문의
4753,점원,이 스타일이 많이 유행해요,의류 문의
4754,고객,요즘엔 어떤 게 유행이에요?,의류 문의
4755,점원,약간 키높이 스타일로 발 커 보이는 형태가 유행인데 어떠세요?,의류 문의
4756,고객,모양은 이쪽이 스니커즈 라인이 나은데 애도 높은 거 싫어하고,의류 문의
4757,고객,사이즈는 다 있어요?,의류 문의
4758,점원,키즈라서 사이즈가 40까지 밖에 안 나와요,의류 문의
4759,고객,이거는 할인 안되죠? 스포트라이트?,의류 문의
4760,점원,신상이라서 안돼요,의류 문의
4761,점원,이거는 워킹화 라인에서 잘 나가요,의류 문의
4762,고객,너무 요란해서 안되겠어요,의류 문의
4763,고객,흰색은 봄 상품 나올 때 봐야 되겠네요?,의류 문의
4764,점원,그렇습니다,의류 문의
4765,고객,신발 전부 세일하시는 거예요?,의류 문의
4766,점원,네 맞아요,의류 문의
4767,고객,앵클부츠는 어떻게 해요?,의류 문의
4768,점원,9만 9천 원이에요,의류 문의
4769,고객,저 앵클부츠 굽은 높이가 어떻게 돼요?,의류 문의
4770,점원,굽 제일 높은 게 8센티입니다,의류 문의
4771,고객,이 신발은 굽 어떻게 돼요?,의류 문의
4772,점원,"이거는 기본 굽이죠 거의 한 2, 3센티 됩니다",의류 문의
4773,고객,가죽이에요?,의류 문의
4774,점원,네 다 소가죽입니다,의류 문의
4775,고객,검은색 스니커즈 스타일은 어떻게 해요?,의류 문의
4776,점원,8만 8천 원입니다,의류 문의
4777,고객,여기 체인점인가요?,의류 문의
4778,점원,네 맞습니다,의류 문의
4779,고객,온누리상품권 되세요?,의류 문의
4780,점원,네 됩니다,의류 문의
4781,고객,이 검은색 신발 이게 검정하고 밤색 두 가지인가요?,의류 문의
4782,점원,네 그렇습니다,의류 문의
4783,고객,신발 보려고 하는데요,의류 문의
4784,점원,어느 분꺼 보시는데요?,의류 문의
4785,고객,저희 신랑 거,의류 문의
4786,점원,운동화요?,의류 문의
4787,고객,네,의류 문의
4788,점원,몇 미리 신는데요?,의류 문의
4789,고객,65예,의류 문의
4790,점원,이런 거 어떠세요? 이거 끈은 쑥 들어가게 편하거든요,의류 문의
4791,고객,바닥이 편해 보이네요 검정색이라 때도 안탈거같고,의류 문의
4792,점원,이런것도 편하고 잘 나가요,의류 문의
4793,고객,이거는 가격 어떻게 해요?,의류 문의
4794,점원,2만 5천 원입니다,의류 문의
4795,고객,이거 이 앞에 스니커즈형으로 망사로 돼가 있네?,의류 문의
4796,점원,네 일찍 나왔어요,의류 문의
4797,고객,이거는 가격 어떻게 해요?,의류 문의
4798,점원,2만 3천 원이요,의류 문의
4799,고객,현금하면 좀 할인되나요?,의류 문의
4800,점원,네 하시면 2만 원에 드릴게요,의류 문의
4801,점원,발에 땀 많은 사람들은 이거 되게 좋아하시는데 한 번 보세요,의류 문의
4802,고객,그건 발피 착용감이 있을 거 같네요,의류 문의
4803,고객,이 회색 스니커즈 봄 신상이에요?,의류 문의
4804,점원,네 지금 나오는 것들은 다 봄 거예요,의류 문의
4805,고객,겨울 부츠 이거는 할인하시나요?,의류 문의
4806,점원,네 겨울 거는 조금 싸게 드려요,의류 문의
4807,고객,사이즈가 잘 없겠네요?,의류 문의
4808,점원,있을 수도 있고 없을 수도 있어요,의류 문의
4809,고객,이 검은색 세무는 높이가 어떻게 돼요 높이 6센티예요?,의류 문의
4810,점원,거의 7센티예요,의류 문의
4811,고객,어떻게 해요 가격이?,의류 문의
4812,점원,원래 3만 5천 원짜리인데 2만 5천 원에 드려요,의류 문의
4813,고객,운동화 있나요?,의류 문의
4814,점원,여성 사이즈 보시나요?,의류 문의
4815,고객,네,의류 문의
4816,점원,오른쪽으로 가세요,의류 문의
4817,고객,이 신발은 어떻게 해요?,의류 문의
4818,점원,7만 9천 원요,의류 문의
4819,고객,세일하시는가요?,의류 문의
4820,점원,지금 안 들어가고 있어요,의류 문의
4821,고객,이거 신상인가요?,의류 문의
4822,점원,네 맞아요,의류 문의
4823,고객,검은색 이거는 어떻게 해요?,의류 문의
4824,점원,7만 9천 원이요,의류 문의
4825,고객,4계절 용이죠?,의류 문의
4826,점원,네 맞습니다,의류 문의
4827,고객,세일 되는 거는 어떤거 있어요?,의류 문의
4828,점원,이거 하고 흰색 두 개 들어가요,의류 문의
4829,고객,몇% 할인되고 있어요?,의류 문의
4830,점원,20%요,의류 문의
4831,고객,이거는 좀 얇은 거 같다 그죠?,의류 문의
4832,점원,여름 전용 신발이거든요,의류 문의
4833,고객,이거는 20% 하게 되면 어떻게 돼요?,의류 문의
4834,점원,7만 9200원이요,의류 문의
4835,점원,나이대가 어떻게 되세요?,의류 문의
4836,고객,고등학생이요,의류 문의
4837,점원,이 제품이 많이 나가요,의류 문의
4838,고객,발에 땀이 많은데 땀 배출 좀 되고 시원한가요?,의류 문의
4839,점원,조금 덜 빠지실 거 같아요 겨울용이거든요,의류 문의
4840,고객,여기 다 수제화인가요?,의류 문의
4841,점원,네 맞습니다,의류 문의
4842,고객,이쪽에 밤색 부츠는 50% 하시는 거라예?,의류 문의
4843,점원,"네 이쪽으로는 20%, 30%이고요",의류 문의
4844,고객,굽 조절하고 이런 거는 다 되나요?,의류 문의
4845,점원,맞추시려면은 조절 다 되고요,의류 문의
4846,고객,맞추는 거 하고 사는 거 하고 가격이 똑같습니까?,의류 문의
4847,점원,네 맞추면 지금 20% 해주는 거예요,의류 문의
4848,고객,이 신발이 되게 가볍다 그지예?,의류 문의
4849,점원,네 맞아요,의류 문의
4850,점원,사이즈 얼마 신으시는데요?,의류 문의
4851,고객,45이에요,의류 문의
4852,고객,양가죽이라예?,의류 문의
4853,점원,네 안감까지 다 가죽이에요,의류 문의
4854,고객,as 다 돼요?,의류 문의
4855,점원,네 as 다 되고요,의류 문의
4856,고객,한쪽만 좀 신어볼게요,의류 문의
4857,점원,네 신어보세요,의류 문의
4858,점원,어떠세요?,의류 문의
4859,고객,신발이 딱 맞네,의류 문의
4860,고객,이거는 얼마예요?,의류 문의
4861,점원,15만 원이에요,의류 문의
4862,고객,할인해가지고요?,의류 문의
4863,점원,네 맞습니다,의류 문의
4864,고객,카드 되는가요?,의류 문의
4865,점원,네 돼요,의류 문의
4866,고객,온누리상품권은 받으시는지예?,의류 문의
4867,점원,네 제가 쓰면 됩니다,의류 문의
4868,고객,밤색하고 검정하고 저건 자주색인가요?,의류 문의
4869,점원,네 세 가지 있어요,의류 문의
4870,고객,검은색 구두 이거는 어떻게 해요?,의류 문의
4871,점원,14만 6천 원입니다,의류 문의
4872,고객,할인되는 거라예?,의류 문의
4873,점원,네 할인됩니다,의류 문의
4874,고객,이 구두는 굽이 운동화처럼 편하게 돼있다 그지예?,의류 문의
4875,점원,네 창도 골드창이서 달라요,의류 문의
4876,고객,쉬는 날 있으세요?,의류 문의
4877,점원,네 일요일 쉽니다,의류 문의
4878,고객,남자들 안전화 있어요?,의류 문의
4879,점원,네 있습니다,의류 문의
4880,고객,굽 높이도 있습니까?,의류 문의
4881,점원,안전화라서 굽은 없어요,의류 문의
4882,고객,그럼 색깔이?,의류 문의
4883,점원,색깔 이렇게 있어요,의류 문의
4884,고객,약간 등산화처럼 이래 안전화가 나오네요?,의류 문의
4885,점원,네 잘 나와요,의류 문의
4886,고객,이거는 정말 봄 상품인데요?,의류 문의
4887,점원,네 5만 원입니다,의류 문의
4888,고객,땀이 공기가 통하는가요?,의류 문의
4889,점원,네 땀이 안 차요,의류 문의
4890,고객,저것보다는 덜 차겠다 그죠?,의류 문의
4891,점원,네 이런 거는 이제 땀 안 차고 좋지요,의류 문의
4892,고객,이거는 어떻게 해요 가격이요?,의류 문의
4893,점원,4만 2천 원인데 4만 원에 해드릴게요,의류 문의
4894,고객,카드하나 현금하나 똑같아요?,의류 문의
4895,점원,네 같아요,의류 문의
4896,고객,온누리상품권도 받으세요?,의류 문의
4897,점원,온누리도 됩니다,의류 문의
4898,고객,여기 몇 시까지 영업하세요 저녁에요?,의류 문의
4899,점원,저녁 8시까지 해요,의류 문의
4900,고객,주차는 요 옆에 하면 돼요? ,의류 문의
4901,점원,저 위에 올라가도 되고 여기 대도 돼요,의류 문의
4902,고객,단속 안 걸려요?,의류 문의
4903,점원,괜찮아요,의류 문의
4904,고객,이거 바람화 가죽처럼 생긴 이거는 어떻게 해요 가격이?,의류 문의
4905,점원,그거는 4만 원이고 이런거는 3만 원이예요,의류 문의
4906,고객,저 밤색도 메이커인가요?,의류 문의
4907,점원,k2 거 입니다,의류 문의
4908,고객,k2가 매장 아니고 이런 데도 파네요?,의류 문의
4909,점원,매장에 있는 게 나옵니다.,의류 문의
4910,고객,신상이 많이 들어왔나 봐요?,의류 문의
4911,점원,네 이게 이제 봄에 나온 거예요,의류 문의
4912,고객,겨울 거는 세일하시는 거 있으세요?,의류 문의
4913,점원,아니요 겨울 거는 반품했어요,의류 문의
4914,고객,운동화 안에 털 달린 거는 가격 어떻게 해요?,의류 문의
4915,점원,2만 원입니다,의류 문의
4916,고객,카드 가격인가요?,의류 문의
4917,점원,카드 현찰 똑같습니다,의류 문의
4918,고객,현금가로 세일하시는 거예요 이거예?,의류 문의
4919,점원,맨 밑에 거만요,의류 문의
4920,점원,사이즈가 어떻게 되세요?,의류 문의
4921,고객,45예요,의류 문의
4922,고객,재질이 일반 합성피혁이죠?,의류 문의
4923,점원,가죽도 있고 일반도 있고 그렇습니다,의류 문의
4924,고객,봄 신상품 어떤 거 있어요?,의류 문의
4925,점원,이쪽에 있습니다,의류 문의
4926,고객,광택 나는 신발이 유행인가 봐요?,의류 문의
4927,점원,봄이니까 에나멜이 많이 나옵니다,의류 문의
4928,고객,밑에 이거는 양말용인가요?,의류 문의
4929,점원,이거는 삭스 샌들입니다,의류 문의
4930,고객,저거 굽 높이는 어떻게 돼요? ,의류 문의
4931,점원,한 5센티 정도 됩니다,의류 문의
4932,고객,굽이 안에 다 들었습니까?,의류 문의
4933,점원,그런 거는 없어요,의류 문의
4934,고객,이게 체인인가요?,의류 문의
4935,점원,전에 수제화할 때는 체인점이었고 지금은 아닙니다,의류 문의
4936,고객,카드는 다 되지요?,의류 문의
4937,점원,네 카드 됩니다,의류 문의
4938,고객,이거는 가격 어떻게 해요?,의류 문의
4939,점원,4만 9천 원에서 5만 9천 원합니다,의류 문의
4940,고객,굽은 한 2센티 정도 되겠네요?,의류 문의
4941,점원,네 맞아요,의류 문의
4942,고객,주차하려고 하면 어떻게 해야 돼요?,의류 문의
4943,점원,오늘은 주말이라 도로에 대도 됩니다,의류 문의
4944,고객,단속은 안 하나요?,의류 문의
4945,점원,평일날은 단속하고 저녁 6시 되면 안 합니다,의류 문의
4946,고객,여기 다 수제화이신 거예요?,의류 문의
4947,점원,네 맞습니다,의류 문의
4948,고객,저희 신랑 신발 하나 사주려고 하는데,의류 문의
4949,점원,거기서 골라보세요,의류 문의
4950,고객,여기서 만드시는 거예요 ?,의류 문의
4951,점원,아니요 서울에서 만들어 옵니다,의류 문의
4952,고객,가죽이 뭐예요?,의류 문의
4953,점원,소가죽입니다,의류 문의
4954,고객,신발 굽도 바꿀 수 있나요?,의류 문의
4955,점원,가져오시면 다 갈아드려요,의류 문의
4956,고객,기간 있나요?,의류 문의
4957,점원,관계없어요,의류 문의
4958,고객,바로 되나요?,의류 문의
4959,점원,아니요 한 열흘 걸립니다,의류 문의
4960,고객,이거는 어떻게 해요?,의류 문의
4961,점원,17만 원이요,의류 문의
4962,점원,한 번 신어보셔도 돼요,의류 문의
4963,고객,좀 더 볼게요,의류 문의
4964,고객,여기 앞에 끈 있는 거는 무슨 스타일이고?,의류 문의
4965,점원,세미 캐주얼입니다,의류 문의
4966,고객,맞춤도 되지요?,의류 문의
4967,점원,네 됩니다,의류 문의
4968,점원,이걸로 한 번 신어보시겠어요?,의류 문의
4969,고객,괜찮아요 사장님 신은 걸로봤어요,의류 문의
4970,고객,봄에 거 어떤 거 잘 나가요?,의류 문의
4971,점원,활동 많이 하시면 이런 것도 많이 신어요,의류 문의
4972,고객,에나멜인가요?,의류 문의
4973,점원,크리크라는 원단이에요,의류 문의
4974,고객,한 번 신어볼 수 있어요?,의류 문의
4975,점원,이 사이즈 맞으세요?,의류 문의
4976,고객,이거는 안됩니다 45로 주세요,의류 문의
4977,점원,네 여기 신어보세요,의류 문의
4978,고객,5센티라예? 4센티라예?,의류 문의
4979,점원,5센티입니다,의류 문의
4980,점원,제일 예쁜 거는 7센티인데 이것도 활동하기 좋아요,의류 문의
4981,고객,고무처럼 생겼네요 이거 편하겠다,의류 문의
4982,고객,거울에 신발 한 번 볼게요,의류 문의
4983,점원,저쪽에 있습니다,의류 문의
4984,고객,이게 생각보다 편한데 45 맞아요?,의류 문의
4985,점원,네 지금 신은 거 45 맞아요,의류 문의
4986,고객,주차는 어떻게 해요?,의류 문의
4987,점원,휴일은 괜찮고 평일날은 10분 대놓을 수 있어요,의류 문의
4988,고객,이거는 베이지 색인가요?,의류 문의
4989,점원,쥐색입니다,의류 문의
4990,고객,카드 되지요?,의류 문의
4991,점원,네 가능합니다,의류 문의
4992,고객,조카 선물하려고 보려고 하는데 고등학생이거든요,의류 문의
4993,점원,남자예요? 여자예요? ,의류 문의
4994,고객,남자애,의류 문의
4995,점원,이쪽으로 와보세요,의류 문의
4996,고객,어떤거 많이 나가요?,의류 문의
4997,점원,708이라는 모델이 제일 깔끔하고 예뻐요,의류 문의
4998,고객,이거 검정은 어떻게 해요?,의류 문의
4999,점원,8만 9천 원이요,의류 문의
5000,고객,좀 저렴한 신발로 보여주세요,의류 문의
5001,점원,여기에 15만 원대 10만 원대 8만 원대 이렇게 있습니다,의류 문의
5002,고객,옆에 있는 거 이거는요?,의류 문의
5003,점원,금액은 똑같이 8만 9천 원이고 그것도 잘나갑니다.,의류 문의
5004,고객,세일 안하시죠?,의류 문의
5005,점원,세일은 없습니다.,의류 문의
5006,고객,애들이 보라색 들어 갔는 거 신으려나?,의류 문의
5007,점원,고등학생들은 안신어요,의류 문의
5008,고객,이거 흰색도 있어요?,의류 문의
5009,점원,흰색은 없고 이게 제일 밝은 색깔이에요,의류 문의
5010,점원,발 사이즈가 어떻게 되는 데요?,의류 문의
5011,고객,265,의류 문의
5012,고객,저녁에는 몇 시까지 하시는데예?,의류 문의
5013,점원,9시 20분 되면 문 닫아요,의류 문의
5014,고객,적립하고 할인카드 있습니까?,의류 문의
5015,점원,뉴발란스 어플 회원가입하시면 할인 가능하고요 아니면 적립 가능해요,의류 문의
5016,고객,몇 % 돼요?,의류 문의
5017,점원,적립은 6% 할인은 5%인데 둘 중 한 가지만 가능합니다,의류 문의
5018,고객,포인트 적립 소멸되고 그런거 있어요? ,의류 문의
5019,점원,1년 동안 구매 내역이 없으면 소멸됩니다,의류 문의
5020,고객,중학교에서 신는 실내화 슬리퍼 같은 거 있어요?,의류 문의
5021,점원,실내화는 삼선 슬리퍼밖에 없어요,의류 문의
5022,고객,이거는 얼마예요?,의류 문의
5023,점원,4천 원이요,의류 문의
5024,고객,이거 말고는 없어요?,의류 문의
5025,점원,이거 말고는 없어요,의류 문의
5026,고객,이런 거는 학교에서 안 신어예?,의류 문의
5027,점원,이제 그런 거는 잘 안 신어요,의류 문의
5028,고객,겨울에도 이거를 신어요?,의류 문의
5029,점원,네 없어 계절 상관없이 중학생은 이거를 신어요,의류 문의
5030,고객,색깔도 딱 이거밖에 없다 그죠?,의류 문의
5031,점원,네 없어요,의류 문의
5032,고객,겨울용 슬리퍼는 어떤 거 있어요?,의류 문의
5033,점원,이렇게 안에 털 들은 거 빨간색 있어요,의류 문의
5034,고객,색깔 빨간색밖에 없어요?,의류 문의
5035,점원,네 하나예요,의류 문의
5036,고객,저 검은색 털 달린 거는 없어요?,의류 문의
5037,점원,겨울용이라 빠지고 안 들어와서 없어요,의류 문의
5038,고객,이런 거는 얼마예요?,의류 문의
5039,점원,만 원이에요,의류 문의
5040,고객,소재가 뭐예요?,의류 문의
5041,점원,소가죽이에요,의류 문의
5042,고객,색깔이 진회색인가요?,의류 문의
5043,점원,이건 블랙에 가까운 컬러예요,의류 문의
5044,고객,다른 색깔은 없어요?,의류 문의
5045,점원,지금 나와있는 거는 이렇게 있어요,의류 문의
5046,고객,미끄러지고 그러지는 않겠다 그죠?,의류 문의
5047,점원,미끄럼 방지가 돼서 나와요,의류 문의
5048,고객,사이즈는 65인데 5단위로 나와요?,의류 문의
5049,점원,네 남자들은 항상 5미리로 나와요,의류 문의
5050,고객,가격은 얼마예요?,의류 문의
5051,점원,40% 하면은 13만 1400원이에요,의류 문의
5052,고객,원래 정가는 얼만데요?,의류 문의
5053,점원,21만 9천 원입니다,의류 문의
5054,점원,색상은 따로 찾으시는 거 있으세요?,의류 문의
5055,고객,이거는 얼마예요?,의류 문의
5056,점원,13만 9천 원이에요,의류 문의
5057,고객,할인은 따로 안돼요?,의류 문의
5058,점원,네 신상이라서 할인은 따로 안 들어가요,의류 문의
5059,고객,이거 가죽이에요?,의류 문의
5060,점원,인조 가죽이에요,의류 문의
5061,고객,물 빨래하면 돼요?,의류 문의
5062,점원,아뇨 이거는 가죽이라서 따로 물 빨래하실 필요 없고요 그냥 물티슈 같은 걸로 닦으시면 돼요,의류 문의
5063,고객,안에는 어떻게 닦아요?,의류 문의
5064,점원,안에 깔창만 빼서 빨면 돼요,의류 문의
5065,고객,이런 데는 어떻게 닦아요?,의류 문의
